Intra_Fair2,Intra_Fair3,Intra_Fair4,Inter_Fair1,Inter_Fair2,Inter_Fair3,Customer_Care,Trial
1.7949861914039816e-14,1.784372907750159e-14,1.0562626961661306e-7,9.564915656848192e-17,5.124023409455056e-17,0.009900985748020168,4.06802254597234,13
9.144012756504644e-13,9.141367370860536e-13,7.320867512190032e-7,6.019889583564267e-14,6.012706707113859e-14,0.009901008184277645,2.789411894366524,14
5.701333470234864e-15,5.8449864861456e-15,5.756003537000724e-8,2.825089037380893e-15,2.9702750571947064e-15,0.009900993726933927,2.414341233771108,15
6.26768668867986e-15,6.41106001695839e-15,6.200515812751387e-8,1.1693642612833258e-15,1.3397398034862856e-15,0.009900986534692048,3.192422860729749,16
3.872195036923135e-14,3.857178550960591e-14,1.486608619604433e-7,1.0884284222000061e-14,1.0498610586417832e-14,0.00990099021674988,1.7809452738957878,17
6.324601626042959e-16,1.0772832583021128e-15,2.1331447687263e-8,6.887822945707592e-17,1.7537083380978893e-16,0.009900987666535233,2.033573955293071,18
9.65937772734678e-15,9.480867264836523e-15,7.817345933550757e-8,8.05175255757455e-16,9.267726454524324e-16,0.009900992618173607,2.5160220078951925,19
1.0540462900234844e-11,1.0540599579080577e-11,2.4823667713640205e-6,4.6235547986805205e-12,4.623409695583909e-12,0.009900815113544695,1.4809438042947751,20
4.404351380488597e-13,4.405270077928903e-13,5.075911850903785e-7,6.41575526484532e-14,6.42952418509661e-14,0.009900997984796205,2.014170966425617,21
3.5192924973287715e-12,3.5192317171243887e-12,1.4692167710631823e-6,2.9208978194589547e-13,2.9206507351836803e-13,0.009901011968015315,3.1830174123428723,22
2.74499187923527e-14,2.701762312133577e-14,1.3055726256938393e-7,1.081383547930785e-15,6.061554680282986e-16,0.009900983334141106,2.0279446980647724,23
5.23828059030014e-16,2.5332805688410663e-16,1.506557741921038e-8,8.884358815269387e-17,2.2230206651920027e-17,0.009900990265788733,2.277103756033231,24
2.2722052635418456e-14,2.257505220088671e-14,1.0766648661502294e-7,2.5953769909556424e-15,2.5782622270352262e-15,0.00990099178188844,2.989376484189282,25
5.436707683135718e-13,5.435047178804162e-13,5.115504097910474e-7,7.687694762084421e-14,7.682231561040286e-14,0.009901003300057977,3.146217983024796,26
1.2131802971893878e-14,1.2159878260095448e-14,8.28177538276153e-8,6.503237694523025e-16,7.929661724865683e-16,0.009900987130609398,3.7432120772143795,27
2.352068883586603e-13,2.356163409936928e-13,3.5720684527868067e-7,6.415447011026968e-14,6.425391551051626e-14,0.009901008949975334,1.656563070918564,28
2.756990446257872e-13,2.7574895176468776e-13,3.7980273885010363e-7,2.5537047765131886e-15,2.3756853906185243e-15,0.009900990310251268,2.4357697509291665,29
2.8356760333989617e-12,2.8359424316136203e-12,1.3227920076986516e-6,7.927953444699528e-14,7.95711888283306e-14,0.009900950667977904,1.466829628671683,30
1.4168474245558025e-15,1.0922566627131216e-15,2.6816564543558378e-8,2.651539431114e-16,2.0904880671715764e-17,0.00990099077995845,2.8523982375810464,31
3.583793026651287e-11,3.5837956608729313e-11,4.619875794744735e-6,5.369664149740231e-13,5.371075207103986e-13,0.009900971128939461,2.07318746628299,32
1.235268663616132e-12,1.2354888173047056e-12,8.433914337749607e-7,7.714360934215872e-14,7.724401689242405e-14,0.00990095194766629,2.070912797666828,33
5.795134232862424e-14,5.786713251529387e-14,1.8183454772518616e-7,2.2905454868047317e-16,1.928302020005753e-16,0.009900984527077442,2.241948063235994,34
